Sedentary,LPA,MPA,VPA,Steps,active
82095,520,4819,1834,13918,4
110497,5457,1222,0,20221,4
25501,6847,1398,1001,16871,4
137091,5208,4394,440,18009,4
94521,9104,4521,212,14295,4
76551,8098,1965,633,10222,3
72405,2541,1338,778,3112,0
87233,10103,2763,395,18565,4
52396,5411,4342,383,1312,0
66032,12530,2118,466,15004,4
128624,7569,1778,2260,1979,0
112731,5932,2239,9585,11712,3
89227,11603,269,194,8349,2
73028,7658,2394,1638,16341,4
84171,7060,925,569,28431,4
144085,11751,4407,1249,11912,3
47013,6505,122,4105,3463,0
81500,11296,1486,1116,15118,4
122202,10134,829,318,25498,4
78821,2299,3018,945,7211,1
83242,4726,1354,6634,15608,4
80286,2409,1128,456,5639,1
63367,4674,3563,682,16470,4
106898,1458,930,1978,14153,4
162254,11073,507,10051,34302,4
75481,2524,1091,313,15078,4
77829,2578,1908,415,24000,4
94122,6246,3478,0,11765,3
38014,14352,2641,1200,9641,2
78991,5291,1770,1722,17157,4
91001,8511,2101,1457,5959,1
117343,3735,895,3605,13963,4
50664,7855,3200,4141,3450,0
100328,1675,509,5369,6546,1
97692,9316,400,344,5119,1
66148,5671,2454,742,345,0
114814,6436,1624,462,4225,0
145718,5528,4159,58,9705,2
96199,1952,2315,10077,21470,4
94760,5905,713,1862,21886,4
69376,8294,1054,438,6921,1
91560,5511,1018,432,5687,1
77031,6230,4297,561,8136,2
77315,8601,250,1589,10783,3
66159,4975,0,0,10769,3
85955,15719,0,3424,20234,4
87826,4731,1766,157,16400,4
84849,6587,230,780,18998,4
173584,2933,1546,1958,22131,4
82940,4098,2544,1476,19983,4
74883,6440,147,1730,6191,1
81938,1246,5199,255,14556,4
79140,8066,720,1753,4142,0
76577,14450,641,1109,7445,1
89485,3238,220,495,9669,2
85317,4745,454,203,36328,4
26759,3583,1038,638,5660,1
83561,6687,376,0,17429,4
75407,13827,1290,0,12520,4
32994,3744,1184,0,31622,4
125585,4083,733,43,1201,0
79948,2953,2678,468,11409,3
52767,3079,663,1315,16203,4
77414,6423,804,3536,9749,2
67147,2119,1240,1278,8673,2
68989,9977,3072,1338,27066,4
91325,7038,2668,411,19926,4
82782,10335,973,136,26063,4
83340,5209,2512,0,18551,4
129075,12959,1444,0,6476,1
76857,9296,629,564,32817,4
68549,8864,1184,678,15694,4
81958,7522,902,4637,4566,0
69777,10824,3557,3157,14057,4
32091,2076,1913,828,17331,4
49858,8965,2148,367,11597,3
67824,5578,774,105,13017,4
69518,11951,4349,1811,7260,1
31218,1579,2666,4034,12695,4
87141,10135,614,2087,4676,0
37997,5404,3312,2958,17504,4
71945,8154,757,8493,3929,0
90407,7519,1246,857,13055,4
72498,10573,203,0,17052,4
91363,4830,4667,1193,13929,4
92108,4845,1356,5012,17949,4
73854,1748,4391,1235,3100,0
72553,1974,3536,8698,15176,4
91730,1120,3469,299,6188,1
89218,12658,1348,1350,19431,4
81981,14494,0,1550,21248,4
88253,14142,3478,1351,10885,3
101468,3258,1581,1286,2595,0
83915,14738,4427,348,5398,1
73814,10718,4884,509,7006,1
79085,6165,1442,4773,9388,2
79179,3899,1876,1373,5562,1
82456,8355,1496,0,10259,3
72204,9827,2255,3622,26148,4
98789,5491,3270,3617,28488,4
141140,7772,484,1775,20723,4
82188,10294,1806,5292,8438,2
77893,4775,1239,1392,10949,3
82754,4823,1887,1402,19818,4
86240,9988,1546,3455,17311,4
86965,13117,2277,685,4400,0
51222,8383,1289,855,13480,4
74109,10087,698,376,4648,0
123394,4083,2727,309,345,0
94251,8934,820,1896,16704,4
93578,11037,1496,1625,6702,1
88737,15880,1941,2036,15509,4
83350,10435,374,6235,9415,2
88151,5685,4650,11273,6448,1
75195,10870,1812,1502,14716,4
73446,10056,1261,6929,15983,4
90284,3117,329,1457,19310,4
85517,12071,4456,4462,13444,4
76541,8874,120,1647,28616,4
30173,4799,4317,402,12561,4
73161,2766,1179,0,3467,0
24165,7637,1265,1405,8535,2
83844,10567,1924,132,7218,1
79852,3327,3857,562,27565,4
80434,4599,1959,477,31524,4
82198,5590,2705,405,30173,4
77267,8305,623,2195,12500,4
77758,11444,3752,93,14743,4
125009,4904,3575,247,10903,3
45331,8577,2838,535,11487,3
89632,9058,1255,1315,18815,4
82665,7777,1554,373,14262,4
26694,3871,864,345,12459,3
35321,13284,2792,237,4359,0
79795,4786,3780,2159,15858,4
95476,9395,3677,331,7394,1
84566,10237,0,3981,7879,2
90559,8176,218,538,10585,3
85248,7658,1833,9023,31608,4
117762,4169,2861,637,9063,2
90068,1812,3122,1017,5833,1
84727,2894,3410,229,5960,1
157850,13689,3192,896,10926,3
84104,7258,1607,218,14729,4
14707,2956,1034,0,15714,4
25715,4575,1203,5372,7965,2
89154,10595,2618,717,13282,4
67213,5500,1099,1787,26016,4
102897,5106,2817,1158,21762,4
20376,9800,2634,202,18531,4
176550,6378,2882,6743,1400,0
90932,7063,1029,1318,7611,2
19207,4079,1419,3519,28339,4
87586,11146,2765,1292,4826,0
93833,5121,1028,2802,13074,4
122478,6811,0,9066,28019,4
88396,11735,851,529,20656,4
81181,9395,1363,3143,31367,4
76210,9194,1118,606,14733,4
88067,3697,0,1058,14539,4
17649,677,1226,10184,726,0
93549,9723,4938,1273,6582,1
87610,8441,2249,8727,13887,4
84754,8863,4927,1579,14834,4
88683,5879,1233,1691,24035,4
87468,2905,0,3258,9362,2
85839,4753,887,670,10792,3
107075,2396,3563,7150,11349,3
152648,6707,757,272,8940,2
114122,1669,654,356,31370,4
87701,22521,0,1164,11382,3
89182,10535,4761,1477,20292,4
7244,5287,833,3767,6553,1
154824,4039,145,4961,19387,4
76092,6911,3603,3805,21072,4
131522,10213,5648,709,8632,2
71426,6564,1023,297,15670,4
89139,8794,1289,7817,14118,4
69882,3189,3843,456,9788,2
84167,9660,3547,9591,26396,4
72984,7530,0,1805,9902,2
89747,5079,620,38,14162,4
77724,5930,2330,1841,27821,4
93844,5142,1318,157,15399,4
171553,8855,1461,1389,13034,4
100463,3880,1581,1203,5732,1
67211,5336,608,807,964,0
79143,14743,3480,8538,21290,4
82307,2242,0,4585,9744,2
176414,3048,479,473,20005,4
175019,2219,1343,4162,9489,2
99262,6725,2223,141,15290,4
79300,5365,36,4358,12152,3
75009,3160,816,3378,7522,2
85260,1971,797,9739,17179,4
79411,4165,2810,224,12460,3
76189,12442,3609,4488,12710,4
60941,3926,878,1305,7000,1
27805,2651,718,10482,9102,2
82815,5866,4009,1525,13119,4
63524,4527,3722,520,7743,2
71634,4910,4677,891,4649,0
89497,3821,438,281,10796,3
79935,11482,2016,1302,2488,0
90730,12834,722,549,345,0
70914,5606,1433,3199,6563,1
80846,2646,1920,0,31467,4
83283,6595,2203,1422,9388,2
76165,6806,4308,1686,345,0
104266,6988,611,1415,9267,2
74203,1731,2954,211,16454,4
80483,550,3044,614,11930,3
70042,10131,4425,1203,8713,2
76948,3553,2300,0,12257,3
142245,5836,1791,2228,13640,4
94341,9976,1066,261,8539,2
70028,13594,2214,2413,6285,1
83110,13362,744,8298,11277,3
89155,5231,1595,1520,17915,4
83713,2570,5555,1761,2773,0
49137,5825,542,764,22508,4
158829,1153,676,539,13828,4
73873,6907,2846,937,8023,2
83651,4905,866,763,24012,4
70986,5102,2519,1262,23838,4
97998,4559,303,1207,5835,1
94726,126,3457,0,9415,2
8796,4526,4026,525,16416,4
151733,6180,3850,373,18889,4
118835,8239,456,1758,17060,4
66368,2167,553,0,17898,4
81265,15428,4218,461,17977,4
82660,13813,5519,1956,13174,4
86334,3087,3542,1748,681,0
85377,8688,1961,1230,4800,0
81316,3131,1800,830,1563,0
88728,4437,1495,244,14350,4
69794,15304,1212,2961,3559,0
80924,9420,2967,4093,3371,0
62633,5861,1596,880,17891,4
135308,5791,1100,470,12375,3
176550,6972,1852,566,9909,2
70111,7561,3456,7221,6248,1
86472,9500,900,472,13088,4
65973,4869,3999,1934,13732,4
80899,4469,440,2693,6027,1
95421,1265,2017,1371,345,0
21995,4019,1081,746,13537,4
69615,16115,1374,433,22935,4
70083,6920,4020,907,6902,1
74371,7750,1760,546,345,0
78202,3841,2722,1449,27701,4
67859,13347,2149,52,9571,2
66209,4615,1420,13,10301,3
90933,1713,4111,1261,10390,3
77947,6646,1921,1616,10298,3
70077,8783,0,0,10996,3
44874,3593,1920,1766,27603,4
76774,3644,484,0,6803,1
57360,9229,1645,404,12760,4
41865,12642,0,587,8997,2
151569,615,2154,1543,24125,4
69658,7396,1856,592,11765,3
85012,3498,1573,947,6920,1
111511,6716,4164,896,19181,4
78216,2399,2559,308,13834,4
89385,6602,214,3875,9627,2
118294,10221,3478,1507,16500,4
83413,3609,4263,11186,5315,1
81036,4789,3001,273,13244,4
20741,15292,2723,5208,13850,4
77322,11234,1196,0,8479,2
92300,10469,1030,610,10480,3
72542,1784,1092,660,14183,4
3172,4833,594,6096,12220,3
65922,8789,1494,1222,12453,3
159367,11885,2335,1238,13545,4
76941,4900,2257,4069,10748,3
97218,6070,1317,1573,20237,4
82583,541,1296,534,7417,1
56650,5967,1353,1403,13570,4
87918,11304,1799,1580,12128,3
97640,3696,5346,10418,2418,0
32018,12334,3891,521,6563,1
95199,9622,1080,1358,10325,3
65092,8685,969,1556,2975,0
65493,9082,552,6544,14609,4
78986,8489,0,3956,11616,3
90805,10143,372,1737,30476,4
83684,11036,171,132,8667,2
86774,11449,1880,4548,13553,4
85373,12221,3382,1545,6475,1
69563,4476,5283,7374,1666,0
81875,9849,1173,1805,6385,1
75740,7397,799,1689,30206,4
89404,5808,1093,2899,13444,4
147974,6532,5146,10055,15465,4
85688,13784,1152,554,10197,3
82217,3967,2659,1704,8768,2
64150,6546,0,918,14620,4
81468,1015,1353,978,13147,4
84916,7505,0,5116,3826,0
87541,5513,2686,553,11412,3
118651,5938,871,6687,16519,4
162100,5163,889,1762,11382,3
83634,4047,2808,4649,17070,4
66516,2559,1966,1508,7628,2
104948,3548,3481,1377,22110,4
3172,13052,858,1787,36273,4
69858,6798,0,1437,2567,0
161196,1739,894,3597,9559,2
73065,5121,2410,2021,36498,4
55961,6644,2337,673,21326,4
107073,7027,1314,1237,13803,4
90290,6105,1962,844,345,0
76082,6507,3263,421,345,0
54768,7449,2156,564,8391,2
83205,1672,2126,838,12474,3
84261,9367,2894,6316,15079,4
146971,126,2923,266,14706,4
76432,3555,994,1242,12760,4
72367,5754,1491,5674,4670,0
83852,11838,1739,1639,19611,4
77882,11738,331,2333,12957,4
75265,3818,1059,783,11503,3
147659,3527,2558,898,5593,1
77773,7585,1153,429,5077,1
29392,6560,106,439,14891,4
83668,10155,1316,154,345,0
114368,7913,4822,101,14498,4
20047,9140,1770,651,5299,1
93244,11763,2892,1043,14392,4
55967,15653,0,361,345,0
67827,14080,2150,9328,13274,4
28477,9018,152,9653,15954,4
69275,2771,3226,1193,14439,4
104949,5527,600,647,9310,2
86957,8270,1885,204,3488,0
77239,9165,3712,647,1533,0
79954,9369,335,7335,3012,0
23038,7398,3465,925,12128,3
97857,1062,205,539,10518,3
37735,11363,953,1021,10725,3
12502,9421,5102,1859,21816,4
68165,4387,863,3412,345,0
125103,8379,1159,406,29750,4
30315,6084,877,0,9925,2
87512,4953,1734,6061,1084,0
74755,9392,851,23,11983,3
78522,4428,1847,1649,5121,1
144346,3194,1027,429,14740,4
36016,11392,1756,3847,16829,4
149189,2180,1264,6274,9327,2
85787,6237,0,239,24307,4
102192,2693,756,166,16222,4
88378,6773,0,282,9676,2
76605,6423,521,271,15897,4
84792,7940,2815,2884,18330,4
70571,126,402,206,14387,4
87764,7198,1523,1741,9445,2
40957,8838,24,1640,15842,4
87002,2112,2328,3080,12515,4
84531,5623,4512,1192,14400,4
81889,6938,3516,1880,25137,4
86750,15251,1125,1873,14871,4
83093,10621,1610,3894,6978,1
76338,8310,2317,9652,7773,2
85499,10707,4410,6862,14836,4
121345,6463,1361,5057,19233,4
126673,6443,327,1296,8843,2
169975,5923,1928,53,10505,3
83785,11684,2967,471,7366,1
76791,695,1094,734,21791,4
89460,11111,2409,1578,5277,1
48381,8875,1698,1231,7382,1
111757,9075,635,1316,21178,4
38098,6102,2221,21,9072,2
92834,7573,3015,572,7473,1
104125,3660,1531,2770,5286,1
67313,13917,990,267,18831,4
57050,6941,630,0,8045,2
63464,6113,3607,392,12796,4
3172,7318,366,10617,7057,1
110161,10729,4442,1646,1656,0
88682,1936,170,1789,18443,4
76224,1933,3633,1669,14212,4
147050,5208,205,2190,4715,0
82402,12767,999,685,20369,4
129880,3637,3138,376,6205,1
82840,13032,2812,3561,9891,2
89421,1081,1037,316,10169,3
112380,5504,0,0,7692,2
105757,6608,1401,1309,8190,2
7527,9792,0,521,19656,4
119163,3855,3906,6467,14781,4
69459,6342,2434,3664,5834,1
97607,3671,0,260,923,0
111575,7006,689,1699,1349,0
78852,14172,1355,644,11035,3
74332,4426,3167,1019,12777,4
82291,7793,4128,677,18503,4
52610,5490,0,575,12182,3
81007,8497,4962,259,7086,1
77658,8792,7104,1539,10744,3
76466,354,3413,787,9452,2
88042,4495,2037,4681,14288,4
80143,6882,2314,1683,11916,3
67771,4858,2161,108,16313,4
3172,4254,0,0,33586,4
94934,8250,3360,3617,16049,4
92128,2216,1123,6133,13598,4
82208,986,3316,1284,11270,3
47591,7754,887,3782,12307,3
116936,6142,944,3773,24100,4
83176,10086,4432,8934,11818,3
74441,5765,389,674,22650,4
88345,10975,1751,4896,11611,3
76879,4300,1235,4742,15283,4
83912,3762,3645,817,6525,1
42308,14104,1016,7066,4926,0
84575,4568,1660,2689,25752,4
67549,5410,1055,434,13810,4
63028,9645,3361,1912,9598,2
83520,14435,498,0,14101,4
72536,5051,2408,659,345,0
141247,3198,1280,3350,4861,0
74574,5964,2542,1848,23815,4
88517,11743,329,85,11755,3
176550,10968,2244,940,34571,4
5969,3949,2735,584,4841,0
82512,11624,0,80,20850,4
74163,7961,1599,6739,16012,4
86159,1743,3371,1618,12172,3
61436,3623,1626,2922,14776,4
74629,5354,617,3456,3540,0
149397,8072,985,7238,11467,3
155088,4782,2344,885,10121,3
88956,4150,2240,455,5350,1
5002,7653,0,2712,30113,4
89401,4838,4789,3263,18513,4
60300,2844,1223,0,29972,4
86169,7944,3194,254,13320,4
5943,3011,1750,9050,11919,3
89899,10752,319,1395,20334,4
89474,7487,2376,960,7437,1
70386,7742,178,623,30361,4
82790,5355,8038,2649,9979,2
84520,1335,256,1698,16162,4
80070,3139,0,172,10120,3
79946,8041,108,4625,17236,4
38430,4042,1170,3080,10952,3
65642,7835,204,882,2130,0
4595,2754,2418,3475,10561,3
106523,5268,2894,1911,20260,4
37012,8111,4653,1025,7075,1
22492,5301,4620,554,3199,0
85629,7182,430,1281,17565,4
85028,5361,1811,1658,10899,3
87054,11716,129,1602,1556,0
10745,6858,552,3195,18441,4
133020,2525,1154,870,9696,2
75257,4378,796,1371,24603,4
